On Column: 2
Pattern: (2[0-3]|1[0-9]|0[0-9]|[^0-9][0-9]):([0-5][0-9]|[0-9]):([0-5][0-9]|[0-9])
-----------------------------
Column      Contents
393405561   24:00:00
709439701   24:00:00
816244706   24:00:00
744413687   24:00:00
334871553   24:00:00
742817994   24:00:00
315179896   24:00:00
153665625   24:00:00
310014089   24:00:00
438652242   24:00:00
345361743   24:00:00
714716691   24:00:00
858168344   24:00:00
797356213   24:00:00
754668657   24:00:00
476300674   24:00:00
482333497   24:00:00
765012131   24:00:00
879807220   24:00:00
237223209   24:00:00
500885213   24:00:00
646232653   24:00:00
481540623   24:00:00
559787313   24:00:00
542907527   24:00:00
263268369   24:00:00
608496402   24:00:00
630700690   24:00:00
773542369   24:00:00
432200610   24:00:00
430724110   24:00:00
765321667   24:00:00
375340798   24:00:00
105132449   24:00:00
765293086   24:00:00
420708922   24:00:00
175089889   24:00:00
569269778   24:00:00
417499730   24:00:00
339456181   24:00:00
611061737   24:00:00
961925550   24:00:00
279171924   24:00:00
517385823   24:00:00
245923390   24:00:00
163479075   24:00:00
314292377   24:00:00
784869412   24:00:00
642593729   24:00:00
954754510   24:00:00
135062398   24:00:00
155907768   24:00:00
949645212   24:00:00
545264060   24:00:00
963433136   24:00:00
669094870   24:00:00
723834304   24:00:00
227576227   24:00:00
344113448   24:00:00
866936645   24:00:00
570210811   24:00:00
243805060   24:00:00
460785492   24:00:00
903424034   24:00:00
692833716   24:00:00
662548403   24:00:00
752891146   24:00:00
117554766   24:00:00
488470470   24:00:00
262199008   24:00:00
762091758   24:00:00
262575810   24:00:00
620877696   24:00:00
387541240   24:00:00
415380055   24:00:00
842488920   24:00:00
962382424   24:00:00
927128707   24:00:00
999849993   24:00:00
747923364   24:00:00
319423311   24:00:00
612469592   24:00:00
859646351   24:00:00
183184276   24:00:00
244740643   24:00:00
998316364   24:00:00
152477262   24:00:00
776345662   24:00:00
154719253   24:00:00
498019463   24:00:00
980942447   24:00:00
281707020   24:00:00
915240360   24:00:00
324999595   24:00:00
494770165   24:00:00
424254203   24:00:00
357409136   24:00:00
897627883   24:00:00
860593668   24:00:00
102371166   24:00:00
989063478   24:00:00
410703922   24:00:00
989579591   24:00:00
831661059   24:00:00
574504804   24:00:00
450486095   24:00:00
871793098   24:00:00
309413908   24:00:00
832851925   24:00:00
296637635   24:00:00
330975371   24:00:00
561146076   24:00:00
631830030   24:00:00
391040848   24:00:00
144532022   24:00:00
107809736   24:00:00
762423115   24:00:00
238586994   24:00:00
461939297   24:00:00
964490485   24:00:00
525798148   24:00:00
611031928   24:00:00
747630671   24:00:00
828580723   24:00:00
155726812   24:00:00
347579307   24:00:00
908112842   24:00:00
841266533   24:00:00
380777793   24:00:00
550075977   24:00:00
351164893   24:00:00
279080517   24:00:00
888981207   24:00:00
241703609   24:00:00
646743209   24:00:00
929472994   24:00:00
950689434   24:00:00
605991480   24:00:00
634708725   24:00:00
286589794   24:00:00
292220703   24:00:00
715923299   24:00:00
357801696   24:00:00
183407226   24:00:00
292132283   24:00:00
382466337   24:00:00
891926448   24:00:00
111141390   24:00:00
729375505   24:00:00
425464804   24:00:00
694802229   24:00:00
674449658   24:00:00
912104277   24:00:00
271249079   24:00:00
425029400   24:00:00
965457316   24:00:00
798537111   24:00:00
164566062   24:00:00
136037731   24:00:00
943139649   24:00:00
897095171   24:00:00
658659271   24:00:00
871199583   24:00:00
177663495   24:00:00
938481704   24:00:00
869447973   24:00:00
258156100   24:00:00
965351497   24:00:00
616893734   24:00:00
568047046   24:00:00
239441444   24:00:00
109122294   24:00:00
994434243   24:00:00
486186950   24:00:00
482664484   24:00:00
726158887   24:00:00
684997542   24:00:00
351814699   24:00:00
107934319   24:00:00
883166954   24:00:00
520390659   24:00:00
737551901   24:00:00
741373285   24:00:00
637236527   24:00:00
619467303   24:00:00
585630774   24:00:00
407670256   24:00:00
363606019   24:00:00
320638088   24:00:00
783359015   24:00:00
255880848   24:00:00
941721499   24:00:00
859942569   24:00:00
148866094   24:00:00
330886907   24:00:00
833364756   24:00:00
612602454   24:00:00
204740849   24:00:00
382592161   24:00:00
625414854   24:00:00
284755552   24:00:00
543378226   24:00:00
542421476   24:00:00
743783148   24:00:00
194928508   24:00:00
714832775   24:00:00
161072987   24:00:00
308941824   24:00:00
780783583   24:00:00
334738983   24:00:00
125883450   24:00:00
100275484   24:00:00
226807132   24:00:00
408706747   24:00:00
566858319   24:00:00
161957286   24:00:00
700073153   24:00:00
811713617   24:00:00
251021618   24:00:00
229490425   24:00:00
184099726   24:00:00
659213870   24:00:00
130402682   24:00:00
207214445   24:00:00
474978287   24:00:00
435627648   24:00:00
956113233   24:00:00
455722219   24:00:00
328259892   24:00:00
395309063   24:00:00
968939155   24:00:00
173474229   24:00:00
304572135   24:00:00
340711393   24:00:00
610119108   24:00:00
342901274   24:00:00
